year,level_1,value
1970,Proportion Of Resident Youths (15 - 24 Years) Among Resident Population,21.6
1970,Gross Enrolment Ratio - Post-secondary Non-tertiary,15.8
1970,Gross Enrolment Ratio - Tertiary,5
1970,Resident Labour Force Participation Rate (15-19 Years),47.1
1970,Resident Labour Force Participation Rate (20-24 Years),71.5
1970,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15-24 Years)",na
1980,Proportion Of Resident Youths (15 - 24 Years) Among Resident Population,23.8
1980,Gross Enrolment Ratio - Post-secondary Non-tertiary,23
1980,Gross Enrolment Ratio - Tertiary,5.9
1980,Resident Labour Force Participation Rate (15-19 Years),47.9
1980,Resident Labour Force Participation Rate (20-24 Years),86.1
1980,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15-24 Years)",8.4
1990,Proportion Of Resident Youths (15 - 24 Years) Among Resident Population,16.9
1990,Gross Enrolment Ratio - Post-secondary Non-tertiary,46.9
1990,Gross Enrolment Ratio - Tertiary,23.5
1990,Resident Labour Force Participation Rate (15-19 Years),25.1
1990,Resident Labour Force Participation Rate (20-24 Years),79.1
1990,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15-24 Years)",15.9
1995,Proportion Of Resident Youths (15 - 24 Years) Among Resident Population,14.5
1995,Gross Enrolment Ratio - Post-secondary Non-tertiary,37.7
1995,Gross Enrolment Ratio - Tertiary,38.6
1995,Resident Labour Force Participation Rate (15-19 Years),16.8
1995,Resident Labour Force Participation Rate (20-24 Years),74
1995,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15-24 Years)",23.1
2000,Proportion Of Resident Youths (15 - 24 Years) Among Resident Population,12.9
2000,Gross Enrolment Ratio - Post-secondary Non-tertiary,48.2
2000,Gross Enrolment Ratio - Tertiary,45.3
2000,Resident Labour Force Participation Rate (15-19 Years),14
2000,Resident Labour Force Participation Rate (20-24 Years),66
2000,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15-24 Years)",29.4
2001,Proportion Of Resident Youths (15 - 24 Years) Among Resident Population,12.8
2001,Gross Enrolment Ratio - Post-secondary Non-tertiary,47.7
2001,Gross Enrolment Ratio - Tertiary,45
2001,Resident Labour Force Participation Rate (15-19 Years),15.8
2001,Resident Labour Force Participation Rate (20-24 Years),68.9
2001,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15-24 Years)",26.9
2002,Proportion Of Resident Youths (15 - 24 Years) Among Resident Population,12.6
2002,Gross Enrolment Ratio - Post-secondary Non-tertiary,49.3
2002,Gross Enrolment Ratio - Tertiary,46.1
2002,Resident Labour Force Participation Rate (15-19 Years),11.9
2002,Resident Labour Force Participation Rate (20-24 Years),65.2
2002,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15-24 Years)",23.5
2003,Proportion Of Resident Youths (15 - 24 Years) Among Resident Population,12.8
2003,Gross Enrolment Ratio - Post-secondary Non-tertiary,50.6
2003,Gross Enrolment Ratio - Tertiary,46.8
2003,Resident Labour Force Participation Rate (15-19 Years),11.5
2003,Resident Labour Force Participation Rate (20-24 Years),67.1
2003,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15-24 Years)",24.1
2004,Proportion Of Resident Youths (15 - 24 Years) Among Resident Population,13
2004,Gross Enrolment Ratio - Post-secondary Non-tertiary,49.5
2004,Gross Enrolment Ratio - Tertiary,47.5
2004,Resident Labour Force Participation Rate (15-19 Years),12.1
2004,Resident Labour Force Participation Rate (20-24 Years),66.9
2004,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15-24 Years)",23.5
